parent_smiles,pH_r,temp_C_r,pH_over_TK_r,group_source_key,source_block,source_blocks_joined,n_source_blocks,all_conditions_missing,logK,rep_n,rep_std,smiles_rdkit,compound_name,pH,temp_C,pH_over_TK,src_A_raw_k_with_smiles,src_B_logk_name_only,src_C_logk_with_pH_T,src_D_logk_with_pH_over_TK,kept_for_model
CCNc1nc(Cl)nc(NC(C)(C)C)n1,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,9.477121254719663,1,0.0,CCNc1nc(Cl)nc(NC(C)(C)C)n1,Terbuthylazine,,,,1,0,0,0,True
O=C(O)Cc1cccc2ccccc12,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,9.544068044350276,1,0.0,O=C(O)Cc1cccc2ccccc12,2-(1-Naphthyl)acetic acid,,,,1,0,0,0,True
Nc1nc(=O)c2ncn(C3OC(COP(=O)(O)OC4C(CO)OC(n5cnc6c(N)ncnc65)C4O)C(O)C3O)c2[nH]1,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,9.301029995663981,1,0.0,Nc1nc(=O)c2ncn(C3OC(COP(=O)(O)OC4C(CO)OC(n5cnc6c(N)ncnc65)C4O)C(O)C3O)c2[nH]1,"[5-(2-amino-6-oxo-3H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl [5-(6-aminopurin-9-yl)-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl] hydrogen phosphate",,,,1,0,0,0,True
Nc1ncnc2nc[nH]c12,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,9.662757831681574,1,0.0,Nc1ncnc2nc[nH]c12,7H-purin-6-amine,,,,1,0,0,0,True
CCc1cccc2ccccc12,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,9.32221929473392,1,0.0,CCc1cccc2ccccc12,1-Ethylnaphthalene,,,,1,0,0,0,True
CN(C)C(=N)N,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,8.662757831681574,1,0.0,CN(C)C(=N)N,"1,1-Dimethylguanidine",,,,1,0,0,0,True
Nc1ccn([C@H]2CC(OP(=O)(O)OC[C@H]3OC(n4cnc5c(=O)nc(N)[nH]c54)C[C@@H]3O)[C@@H](CO)O2)c(=O)n1,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,9.301029995663981,1,0.0,Nc1ccn([C@H]2CC(OP(=O)(O)OC[C@H]3OC(n4cnc5c(=O)nc(N)[nH]c54)C[C@@H]3O)[C@@H](CO)O2)c(=O)n1,"[(2R,3S)-5-(2-amino-6-oxo-3H-purin-9-yl)-3-hydroxyoxolan-2-yl]methyl [(2R,5R)-5-(4-amino-2-oxopyrimidin-1-yl)-2-(hydroxymethyl)oxolan-3-yl] hydrogen phosphate",,,,1,0,0,0,True
O=C(O)C(F)(F)F,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,4.204119982655925,1,0.0,O=C(O)C(F)(F)F,Trifluoroacetic acid,,,,1,0,0,0,True
CCCCCCCO,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,8.397940008672037,1,0.0,CCCCCCCO,Heptan-1-ol,,,,1,0,0,0,True
Cc1ccc(Cl)c(Cl)c1,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,8.954242509439325,1,0.0,Cc1ccc(Cl)c(Cl)c1,"1,2-dichloro-4-methylbenzene",,,,1,0,0,0,True
